# Sign up here if you are planning to run some analyses that you can post back here for others to take advantage of.
Region,github user id,Sign Up date,expected completion date,status
Alabama,,,,pending
Alaska,,,,pending
Arizona,,,,pending
Arkansas,,,,pending
California,,,,pending
Colorado,,,,pending
Connecticut,,,,pending
Delaware,,,,pending
Florida,,,,pending
Georgia,,,,pending
Hawaii,,,,pending
Idaho,,,,pending
Illinois,,,,pending
Indiana,,,,pending
Iowa,,,,pending
Kansas,,,,pending
Kentucky,,,,pending
Louisiana,,,,pending
Maine,,,,pending
Maryland,,,,pending
Massachusetts,,,,pending
Michigan,,,,pending
Minnesota,,,,pending
Mississippi,,,,pending
Missouri,,,,pending
Montana,,,,pending
Nebraska,,,,pending
Nevada,,,,pending
New Hampshire,,,,pending
New Jersey,,,,pending
New Mexico,,,,pending
New York,,,,pending
North Carolina,,,,pending
North Dakota,,,,pending
Ohio,,,,pending
Oklahoma,,,,pending
Oregon,,,,pending
Pennsylvania,,,,pending
Rhode Island,,,,pending
South Carolina,,,,pending
South Dakota,,,,pending
Tennessee,,,,pending
Texas,,,,pending
Utah,,,,pending
Vermont,,,,pending
Virginia,,,,pending
Washington,,,,pending
West Virginia,,,,pending
Wisconsin,,,,pending
Wyoming,,,,pending
Afghanistan,,,,pending
Albania,,,,pending
Algeria,,,,pending
Andorra,,,,pending
Angola,,,,pending
Antigua and Barbuda,,,,pending
Argentina,,,,pending
Armenia,,,,pending
Australia,,,,pending
Austria,,,,pending
Azerbaijan,,,,pending
Bahamas,,,,pending
Bahrain,,,,pending
Bangladesh,,,,pending
Barbados,,,,pending
Belarus,,,,pending
Belgium,,,,pending
Belize,,,,pending
Benin,,,,pending
Bhutan,,,,pending
Bolivia,,,,pending
Bosnia and Herzegovina,,,,pending
Botswana,,,,pending
Brazil,,,,pending
Brunei,,,,pending
Bulgaria,,,,pending
Burkina Faso,,,,pending
Burundi,,,,pending
Cabo Verde,,,,pending
Cambodia,,,,pending
Cameroon,,,,pending
Canada,,,,pending
Central African Republic,,,,pending
Chad,,,,pending
Chile,,,,pending
China,,,,pending
Colombia,,,,pending
Comoros,,,,pending
Costa Rica,,,,pending
Croatia,,,,pending
Cuba,,,,pending
Cyprus,,,,pending
Czech Republic,,,,pending
Democratic Republic of the Congo,,,,pending
Denmark,,,,pending
Djibouti,,,,pending
Dominica,,,,pending
Dominican Republic,,,,pending
Ecuador,,,,pending
Egypt,,,,pending
El Salvador,,,,pending
Equatorial Guinea,,,,pending
Eritrea,,,,pending
Estonia,,,,pending
Eswatini,,,,pending
Ethiopia,,,,pending
Fiji,,,,pending
Finland,,,,pending
France,,,,pending
Gabon,,,,pending
Gambia,,,,pending
Georgia,,,,pending
Germany,,,,pending
Ghana,,,,pending
Greece,,,,pending
Grenada,,,,pending
Guatemala,,,,pending
Guinea,,,,pending
Guinea-Bissau,,,,pending
Guyana,,,,pending
Haiti,,,,pending
Honduras,,,,pending
Hungary,,,,pending
Iceland,,,,pending
India,,,,pending
Indonesia,,,,pending
Iran,,,,pending
Iraq,,,,pending
Ireland,,,,pending
Israel,,,,pending
Italy,,,,pending
Jamaica,,,,pending
Japan,,,,pending
Jordan,,,,pending
Kazakhstan,,,,pending
Kenya,,,,pending
Kiribati,,,,pending
Kosovo,,,,pending
Kyrgyzstan,,,,pending
Kuwait,,,,pending
Laos,,,,pending
Latvia,,,,pending
Lebanon,,,,pending
Lesotho,,,,pending
Liberia,,,,pending
Libya,,,,pending
Liechtenstein,,,,pending
Lithuania,,,,pending
Luxembourg,,,,pending
Madagascar,,,,pending
Malawi,,,,pending
Malaysia,,,,pending
Maldives,,,,pending
Mali,,,,pending
Malta,,,,pending
Marshall Islands,,,,pending
Mauritania,,,,pending
Mauritius,,,,pending
Mexico,,,,pending
Micronesia,,,,pending
Moldova,,,,pending
Monaco,,,,pending
Mongolia,,,,pending
Montenegro,,,,pending
Morocco,,,,pending
Mozambique,,,,pending
Myanmar,,,,pending
Namibia,,,,pending
Nauru,,,,pending
Nepal,,,,pending
Netherlands,,,,pending
New Zealand,,,,pending
Nicaragua,,,,pending
Niger,,,,pending
Nigeria,,,,pending
North Korea,,,,pending
North Macedonia,,,,pending
Norway,,,,pending
Oman,,,,pending
Pakistan,,,,pending
Palau,,,,pending
Panama,,,,pending
Papua New Guinea,,,,pending
Paraguay,,,,pending
Peru,,,,pending
Philippines,,,,pending
Poland,,,,pending
Portugal,,,,pending
